,_politicianId,filingDate,txDate,txType,chamber,price,size,sizeRangeHigh,sizeRangeLow,value,filingId,filingURL,reportingGap,comment,asset.assetType,asset.assetTicker,issuer.country,issuer.issuerName,issuer.issuerTicker,issuer.sector,politician._stateId,politician.chamber,politician.dob,politician.firstName,politician.gender,politician.lastName,politician.party
0,F000462,2022-09-20,2022-09-14,sell,house,278.53,29,54,4,8000,204193066,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021732.pdf,6,SUBHOLDING OF: MORGAN STANLEY IRA - X141,stock,ACN:US,ie,Accenture PLC,ACN:US,information-technology,fl,house,1948-05-16,Lois,female,Frankel,democrat
1,F000462,2022-09-20,2022-09-07,sell,house,286.76,29,53,4,8000,204193066,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021732.pdf,13,SUBHOLDING OF: MORGAN STANLEY IRA - X141,stock,ACN:US,ie,Accenture PLC,ACN:US,information-technology,fl,house,1948-05-16,Lois,female,Frankel,democrat
2,F000462,2022-09-20,2022-09-12,buy,house,155.65,52,97,7,8000,204193066,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021732.pdf,8,SUBHOLDING OF: MORGAN STANLEY IRA - X142,stock,ADI:US,us,Analog Devices Inc,ADI:US,information-technology,fl,house,1948-05-16,Lois,female,Frankel,democrat
3,F000462,2022-09-20,2022-09-07,sell,house,78.55,102,191,13,8000,204193066,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021732.pdf,13,SUBHOLDING OF: MORGAN STANLEY IRA - X141,stock,CL:US,us,Colgate-Palmolive Co,CL:US,consumer-staples,fl,house,1948-05-16,Lois,female,Frankel,democrat
4,F000462,2022-09-20,2022-09-14,sell,house,281.73,29,54,4,8000,204193066,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021732.pdf,6,SUBHOLDING OF: MORGAN STANLEY IRA - X141,stock,DHR:US,us,Danaher Corp,DHR:US,health-care,fl,house,1948-05-16,Lois,female,Frankel,democrat
5,F000462,2022-09-20,2022-09-07,sell,house,141.27,58,107,8,8000,204193066,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021732.pdf,13,SUBHOLDING OF: MORGAN STANLEY IRA - X141,stock,ETN:US,ie,Eaton Corp PLC,ETN:US,industrials,fl,house,1948-05-16,Lois,female,Frankel,democrat
6,F000462,2022-09-20,2022-09-07,buy,house,337.82,24,45,3,8000,204193066,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021732.pdf,13,SUBHOLDING OF: MORGAN STANLEY IRA - X141,stock,KLAC:US,us,KLA Corp,KLAC:US,information-technology,fl,house,1948-05-16,Lois,female,Frankel,democrat
7,F000462,2022-09-20,2022-09-14,buy,house,346.61,24,44,3,8000,204193066,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021732.pdf,6,SUBHOLDING OF: MORGAN STANLEY IRA - X141,stock,KLAC:US,us,KLA Corp,KLAC:US,information-technology,fl,house,1948-05-16,Lois,female,Frankel,democrat
8,F000462,2022-09-20,2022-09-07,buy,house,201.3,40,75,5,8000,204193066,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021732.pdf,13,SUBHOLDING OF: MORGAN STANLEY IRA - X141,stock,LOW:US,us,Lowe's Cos Inc,LOW:US,consumer-discretionary,fl,house,1948-05-16,Lois,female,Frankel,democrat
9,F000462,2022-09-20,2022-09-07,buy,house,170.79,47,88,6,8000,204193066,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021732.pdf,13,SUBHOLDING OF: MORGAN STANLEY IRA - X141,stock,TGT:US,us,Target Corp,TGT:US,consumer-discretionary,fl,house,1948-05-16,Lois,female,Frankel,democrat
10,F000462,2022-08-31,2022-07-28,buy,house,163.2,50,92,7,8000,204155676,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021618.pdf,34,SUBHOLDING OF: MORGAN STANLEY IRA - X142,reit,ARE:US,us,Alexandria Real Estate Equities Inc,ARE:US,real-estate,fl,house,1948-05-16,Lois,female,Frankel,democrat
11,F000462,2022-08-31,2022-07-22,sell,house,163.27,50,92,7,8000,204155676,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021618.pdf,40,SUBHOLDING OF: MORGAN STANLEY IRA - X142,stock,ADI:US,us,Analog Devices Inc,ADI:US,information-technology,fl,house,1948-05-16,Lois,female,Frankel,democrat
12,F000462,2022-08-31,2022-07-28,sell,house,144.12,56,105,7,8000,204155676,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021618.pdf,34,SUBHOLDING OF: MORGAN STANLEY IRA - X142,stock,BURL:US,us,Burlington Stores Inc,,consumer-discretionary,fl,house,1948-05-16,Lois,female,Frankel,democrat
13,F000462,2022-08-31,2022-07-22,sell,house,123.73,66,122,9,8000,204155676,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021618.pdf,40,SUBHOLDING OF: MORGAN STANLEY IRA - X142,stock,CBOE:US,us,Cboe Global Markets Inc,CBOE:US,financials,fl,house,1948-05-16,Lois,female,Frankel,democrat
14,F000462,2022-08-31,2022-08-10,sell,house,80.34,100,187,13,8000,204155676,https://disclosures-clerk.house.gov/public_disc/ptr-pdfs/2022/20021618.pdf,21,SUBHOLDING OF: MORGAN STANLEY IRA - X141,stock,CL:US,us,Colgate-Palmolive Co,CL:US,consumer-staples,fl,house,1948-05-16,Lois,female,Frankel,democrat
